hugo_symbol	ensembl_gene_id	canonical_transcript
A1BG	ENSG00000121410	ENST00000263100
A1CF	ENSG00000148584	ENST00000395489
A2M	ENSG00000175899	ENST00000318602
A2ML1	ENSG00000166535	ENST00000299698
A3GALT2	ENSG00000184389	ENST00000442999
A4GALT	ENSG00000128274	ENST00000401850
A4GNT	ENSG00000118017	ENST00000236709
AAAS	ENSG00000094914	ENST00000209873
AACS	ENSG00000081760	ENST00000316519
AADAC	ENSG00000114771	ENST00000232892
AADACL2	ENSG00000197953	ENST00000356517
AADACL3	ENSG00000188984	ENST00000359318
AADACL4	ENSG00000204518	ENST00000376221
AADAT	ENSG00000109576	ENST00000509167
AAED1	ENSG00000158122	ENST00000375234
AAGAB	ENSG00000103591	ENST00000261880
AAK1	ENSG00000115977	ENST00000409085
AAMDC	ENSG00000087884	ENST00000526415
AAMP	ENSG00000127837	ENST00000444053
AANAT	ENSG00000129673	ENST00000250615
AAR2	ENSG00000131043	ENST00000373932
AARD	ENSG00000205002	ENST00000378279
AARS	ENSG00000090861	ENST00000261772
AARS2	ENSG00000124608	ENST00000244571
AARSD1	ENSG00000266967	ENST00000427569
AASDH	ENSG00000157426	ENST00000205214
AASDHPPT	ENSG00000149313	ENST00000278618
AASS	ENSG00000008311	ENST00000393376
AATK	ENSG00000181409	ENST00000326724
ABAT	ENSG00000183044	ENST00000396600
ABCA1	ENSG00000165029	ENST00000374736
ABCA10	ENSG00000154263	ENST00000269081
ABCA12	ENSG00000144452	ENST00000272895
ABCA13	ENSG00000179869	ENST00000435803
ABCA2	ENSG00000107331	ENST00000341511
ABCA3	ENSG00000167972	ENST00000301732
ABCA4	ENSG00000198691	ENST00000370225
ABCA5	ENSG00000154265	ENST00000392676
ABCA6	ENSG00000154262	ENST00000284425
ABCA7	ENSG00000064687	ENST00000263094
ABCA8	ENSG00000141338	ENST00000586539
ABCA9	ENSG00000154258	ENST00000340001
ABCB10	ENSG00000135776	ENST00000344517
ABCB11	ENSG00000073734	ENST00000263817
ABCB4	ENSG00000005471	ENST00000265723
ABCB5	ENSG00000004846	ENST00000404938
ABCB6	ENSG00000115657	ENST00000265316
ABCB7	ENSG00000131269	ENST00000253577
ABCB8	ENSG00000197150	ENST00000297504
ABCB9	ENSG00000150967	ENST00000542678
ABCC1	ENSG00000103222	ENST00000399410
ABCC10	ENSG00000124574	ENST00000372530
ABCC11	ENSG00000121270	ENST00000394747
ABCC12	ENSG00000140798	ENST00000311303
ABCC2	ENSG00000023839	ENST00000370449
ABCC3	ENSG00000108846	ENST00000285238
ABCC4	ENSG00000125257	ENST00000376887
ABCC5	ENSG00000114770	ENST00000334444
ABCC6	ENSG00000091262	ENST00000205557
ABCC8	ENSG00000006071	ENST00000302539
ABCC9	ENSG00000069431	ENST00000261200
ABCD1	ENSG00000101986	ENST00000218104
ABCD2	ENSG00000173208	ENST00000308666
ABCD3	ENSG00000117528	ENST00000370214
ABCD4	ENSG00000119688	ENST00000356924
ABCE1	ENSG00000164163	ENST00000296577
ABCF1	ENSG00000204574	ENST00000326195
ABCF2	ENSG00000033050	ENST00000222388
ABCF3	ENSG00000161204	ENST00000429586
ABCG1	ENSG00000160179	ENST00000361802
ABCG2	ENSG00000118777	ENST00000237612
ABCG5	ENSG00000138075	ENST00000260645
ABCG8	ENSG00000143921	ENST00000272286
ABHD1	ENSG00000143994	ENST00000316470
ABHD10	ENSG00000144827	ENST00000273359
ABHD11	ENSG00000106077	ENST00000222800
ABHD12	ENSG00000100997	ENST00000376542
ABHD12B	ENSG00000131969	ENST00000337334
ABHD13	ENSG00000139826	ENST00000375898
